主題分組,中文1,英文2,中文2,英文3,中文3,英文4,中文4,英文5,中文5,英文6,中文6,英文7
主題一：人物,,,,,,,,,,,,
人物1,adult,成人,angel,天使,baby,嬰兒、寶貝,boy,男孩,child,小孩,couple,情侶、夫妻
人物2,customer,顧客,fool,呆子,genius,天才,gentleman,紳士,giant,巨人,girl,女孩
人物3,guest,客人、來賓,guy,傢伙,hero,英雄,host,男主(持)人,kid,孩童、青年,king,國王
人物4,lady,淑女、女士,male,男性,man,男人,master,主人、大師,neighbor,鄰居,partner,夥伴
人物5,people,人們,person,人,prince,王子,princess,公主,queen,皇后,stranger,陌生人
人物6,teenager,青少年,visitor,訪客,woman,女人,youth,青年,,,,
主題二：外貌、個性特徵,,,,,,,,,,,,
外貌、個性特徵1,beautiful,漂亮的,blind,盲的,chubby,圓胖的,cute,可愛的,deaf,聾的,dumb,啞的
外貌、個性特徵2,fat,胖的,handsome,帥的,heavy,重的,nice-looking,好看的,old,老的,over-weight,超重的
外貌、個性特徵3,pretty,美麗、可愛的,short,短的、矮的,skinny,皮包骨的,slender,苗條、纖細的,slim,苗條、纖細的,tall,高的
外貌、個性特徵4,thin,瘦的,under-weight,過輕的,ugly,醜的,young,年輕的,active,主動、積極的,angry,生氣的
外貌、個性特徵5,bad,壞的,bored,感到無聊的,boring,枯燥無趣的,brave,勇敢的,busy,忙碌的,careful,仔細、小心的
外貌、個性特徵6,careless,粗心的,childish,幼稚的,childlike,天真的,clever,機敏、伶俐的,confident,有自信的,considerate,體貼的
外貌、個性特徵7,cool,酷的,crazy,瘋狂、狂熱的,cruel,冷酷的,curious,好奇的,diligent,勤勉的,dishonest,不誠實的
外貌、個性特徵8,evil,邪惡的,energetic,有活力的,excited,感到興奮的,exciting,刺激的,famous,有名的,foolish,愚蠢的
外貌、個性特徵9,frank,坦白、直率的,friendly,友善的,funny,好笑、古怪的,gentle,溫和的,generous,大方、慷慨的,good,好的
外貌、個性特徵10,greedy,貪心的,happy,快樂的,hard-working,努力認真的,honest,誠實的,humble,謙虛的,humorous,幽默的
外貌、個性特徵11,impolite,不禮貌的,intelligent,有才智的,interested,感到有興趣的,jealous,忌妒的,kind,和藹、親切的,lazy,懶惰的
外貌、個性特徵12,lonely,孤獨、寂寞的,lovely,可愛、美好的,mad,發狂、惱火的,naughty,頑皮、淘氣的,nervous,緊張的,nice,美好、體面的
外貌、個性特徵13,patient,有耐心的,polite,有禮貌的,poor,貧窮、可憐的,proud,驕傲、自豪的,rich,富有的,rude,粗魯、無禮的
外貌、個性特徵14,sad,傷心的,selfish,自私的,shy,害羞的,silly,愚蠢、糊塗的,sincere,真誠的,smart,機警、瀟灑的
外貌、個性特徵15,sneaky,鬼鬼祟祟的,stingy,小氣的,stupid,笨的、遲鈍的,successful,成功的,talkative,愛說話、健談的,unhappy,不快樂的
外貌、個性特徵16,wise,有智慧的,,,,,,,,,,
主題三：身體部位,,,,,,,,,,,,
身體部位1,beard,鬍子,chin,下巴,ear,耳朵,eye,眼睛,face,臉,hair,頭髮
身體部位2,lip,嘴唇,mouth,嘴巴,nose,鼻子,tongue,舌頭,tooth,牙齒,ankle,腳踝
身體部位3,arm,手臂,back,背部,body,身體,bone,骨頭,finger,手指,foot,腳
身體部位4,hand,手,head,頭,hip,臀部,knee,膝蓋,leg,腿,nail,指甲
身體部位5,neck,脖子,shoulder,肩膀,skin,皮膚,throat,喉嚨,thumb,拇指,toe,腳趾
身體部位6,waist,腰,wrist,手腕,heart,心(臟),stomach,胃,,,,
主題四：健康,,,,,,,,,,,,
健康1,comfortable,舒適的,dizzy,頭暈的,healthy,健康的,ill,生病的,painful,痛苦的,pale,蒼白的
健康2,sick,生病、想吐的,strong,強壯的,tired,疲累、厭煩的,weak,虛弱的,well,健康、安好的,wound,傷口
健康3,cancer,癌症,cold,感冒,flu,流行性感冒,headache,頭痛,stomachache,胃(肚子)痛,toothache,牙痛
健康4,cough,咳嗽,fever,發燒,pain,痛苦,sore throat,喉嚨痛,cure,治療,recover,復原、恢復
健康5,death,死亡,health,健康,life,生命、生活,medicine,藥物,,,,
主題五：稱謂,,,,,,,,,,,,
稱謂1,Dr.,醫生、博士,Mr.,先生,Mrs.,太太、女士,Miss,小姐(未婚),Ms.,小姐,sir,先生(尊稱)
稱謂2,ma'am,女士(尊稱),name,名字,,,,,,,,
主題六：家人、家庭,,,,,,,,,,,,
家人、家庭1,aunt,姑.姨.嬸.伯/舅母,brother,兄弟,cousin,堂表兄弟姐妹,daughter,女兒,elder,長輩,family,家人、家庭
家人、家庭2,father,父親,dad,爸爸,daddy,爸爸,granddaughter,孫女,grandfather,祖父、外公,grandpa,祖父、外公
家人、家庭3,grandmother,祖母、外婆,grandma,祖母、外婆,grandson,孫子,husband,丈夫,mother,母親,mom,媽媽
家人、家庭4,mommy,媽媽,nephew,姪子、外甥,niece,姪女、外甥女,parent,父/母,relative,親戚,sister,姐妹
家人、家庭5,son,兒子,uncle,叔.伯.舅.姑/姨丈,wife,妻子,born,出生的、誕生的,grow,成長,live,居住、(生/過)活
家人、家庭6,marry,結婚,married,結婚的、已婚的,,,,,,,,
主題七：數字,,,,,,,,,,,,
數字1,zero,零,one,一,two,二,three,三,four,四,five,五
數字2,six,六,seven,七,eight,八,nine,九,ten,十,eleven,十一
數字3,twelve,十二,thirteen,十三,fourteen,十四,fifteen,十五,sixteen,十六,seventeen,十七
數字4,eighteen,十八,nineteen,十九,twenty,二十,thirty,三十,forty,四十,fifty,五十
數字5,sixty,六十,seventy,七十,eighty,八十,ninety,九十,hundred,百,thousand,千
數字6,million,百萬,first,第一,second,第二,third,第三,last,最後,all,全部
數字7,a few,一些,a little,一些,a lot,很多,any,任何,both,兩者(都),few,很少
數字8,less,比較少,little,幾乎沒有,many,很多,more,比較多,much,很多,number,數字
數字9,several,數個的,some,一些,total,總計、全體的,,,,,,
主題八：時間,,,,,,,,,,,,
時間1,dawn,清晨,morning,早上,noon,正午,afternoon,下午,evening,傍(夜)晚,night,夜晚
時間2,midnight,午夜,Monday,週一,Tuesday,週二,Wednesday,週三,Thursday,週四,Friday,週五
時間3,Saturday,週六,Sunday,週日,week,星期,weekday,平日,weekend,週末,month,月(份)
時間4,January,一月,February,二月,March,三月,April,四月,May,五月,June,六月
時間5,July,七月,August,八月,September,九月,October,十月,November,十一月,December,十二月
時間6,season,季節,spring,春天,summer,夏天,autumn,秋天,fall,秋天,winter,冬天
時間7,alarm clock,鬧鐘,calendar,月(日)曆,clock,時鐘,watch,手表,stop watch,碼表,a.m.,早上
時間8,p.m.,下午,half,半(小時),hour,小時、鐘頭,minute,分鐘,moment,片刻,o'clock,整點(鐘)
時間9,past,過去,quarter,一刻,second,秒,time,時間,ago,在…以前,already,已經
時間10,current,現行的,early,早的,last,最後的,late,遲(晚)的,later,比較晚的,next,下個的
時間11,now,現在,once,昔日,future,未來,soon,很快地,today,今天,tonight,今晚
時間12,tomorrow,明天,year,年,yesterday,昨天,day,天,daily,日常的,,
主題九：金錢,,,,,,,,,,,,
金錢1,bill,帳單,cash,現金,cent,分(錢),change,零錢,coin,硬幣,credit card,信用卡
金錢2,dollar,元,money,錢,price,價格,borrow,借(入),buy,買,charge,索價
金錢3,cost,花費,earn,賺,lend,借(出),pay,付錢,spend,花費,cheap,便宜的
金錢4,expensive,昂貴的,,,,,,,,,,
主題十：飲食,,,,,,,,,,,,
飲食1,fruit,水果,apple,蘋果,banana,香蕉,grape,葡萄,guava,番石榴,lemon,檸檬
飲食2,mango,芒果,orange,柳橙,papaya,木瓜,peach,桃子,pear,梨子,pineapple,鳳梨
飲食3,strawberry,草莓,tangerine,橘子,tomato,番茄,watermelon,西瓜,vegetable,蔬菜,bean,豆子
飲食4,cabbage,包心菜,carrot,胡蘿蔔,corn,玉米,lettuce,萵苣,nut,堅果,onion,洋蔥
飲食5,potato,馬鈴薯,pumpkin,南瓜,meat,肉類,beef,牛肉,bread,麵包,bun,小圓麵包
飲食6,burger,(漢)堡,cereal,穀物麥片,chicken,雞肉,dumpling,餃子,egg,蛋,fast food,速食
飲食7,fish,魚肉,flour,麵粉,food,食物,French fries,薯條,ham,火腿,hamburger,漢堡
飲食8,hot dog,熱狗,instant noodle,泡麵,noodle,麵條,pizza,披薩,pork,豬肉,rice,米、飯
飲食9,salad,沙拉,sandwich,三明治,seafood,海鮮,shrimp,蝦子,soup,湯,spaghetti,義大利麵
飲食10,steak,牛排,tofu,豆腐,breakfast,早餐,brunch,早午餐,dinner,晚餐,lunch,午餐
飲食11,meal,餐(點),snack,零食,supper,晚餐,beer,啤酒,coffee,咖啡,cola,可樂
飲食12,drink,飲料,ice,冰、冰塊,juice,果汁,liquid,液體,milk,牛奶,milk shake,奶昔
飲食13,soda,蘇打(氣泡)水,soft drink,汽水,tea,茶,water,水,cake,蛋糕,candy,糖果
飲食14,cheese,起司,chocolate,巧克力,cookie,餅乾,dessert,甜點,doughnut,甜甜圈,ice cream,冰淇淋
飲食15,moon cake,月餅,pie,派,popcorn,爆米花,toast,烤吐司,butter,奶油、黃油,ketchup,番茄醬
飲食16,cream,奶油、乳脂,jam,果醬,oil,(沙拉)油,pepper,胡椒,soy-sauce,醬油,salt,鹽
飲食17,sugar,糖,vinegar,醋,hungry,飢餓的,full,飽的,thirsty,口渴的,bitter,苦的
飲食18,delicious,美味的,hot,辣、燙的,sour,酸的,sweet,甜的,yummy,好吃的,bake,烤、烘焙
飲食19,boil,煮沸,burn,燒,cook,煮、烹飪,eat,吃,order,點餐,spread,塗抹
飲食20,menu,菜單,diet,飲食,slice,切(薄)片,,,,,,
主題十一：餐具,,,,,,,,,,,,
餐具1,bowl,碗,chopsticks,筷子,cup,(小)杯子,dish,(深)盤子,fork,叉子,glass,玻璃杯
餐具2,knife,刀子,napkin,餐巾,plate,(淺)盤子,saucer,碟子,spoon,湯匙,straw,吸管
主題十二：衣物配件,,,,,,,,,,,,
衣物配件1,blouse,短上衣,coat,(西裝)外套,dress,洋裝,jacket,夾克,jeans,牛仔褲,pajamas,睡衣
衣物配件2,pants,長褲,raincoat,雨衣,shirt,襯衫,T-shirt,短袖圓領運動衫,shorts,短褲,skirt,裙子
衣物配件3,suit,套裝,sweater,毛衣,swimsuit,(女)泳衣,trousers,長褲,uniform,制服,underwear,內衣
衣物配件4,vest,背心,bag,袋子、包包,belt,皮帶,button,鈕扣,cap,(鴨舌)帽,comb,梳子
衣物配件5,contact lens,隱形眼鏡,earrings,耳環,glove,手套,handkerchief,手帕,hat,(寬圓)帽,mask,面具
衣物配件6,necklace,項鍊,pocket,口袋,purse,(女用)皮包,ring,戒指,scarf,圍巾,shoe(s),鞋子
衣物配件7,slippers,拖鞋,sneakers,運動鞋,socks,襪子,tie,領帶,umbrella,雨傘,wallet,皮夾
