中文,英文
成人,adult
顧客,customer
客人、來賓,guest
淑女、女士,lady
人們,people
青少年,teenager
天使,angel
呆子,fool
傢伙,guy
男性,male
人,person
訪客,visitor
嬰兒、寶貝,baby
天才,genius
英雄,hero
男人,man
王子,prince
女人,woman
男孩,boy
紳士,gentleman
男主(持)人,host
主人、大師,master
公主,princess
青年,youth
小孩,child
巨人,giant
孩童、青年,kid
鄰居,neighbor
皇后,queen
情侶、夫妻,couple
女孩,girl
國王,king
夥伴,partner
陌生人,stranger
有智慧的,wise
或者,or
因為,because
寫,write
黃色(的),yellow
床,bed
沙發,sofa
餐廳,restaurant
公園,park
小心地,carefully
容易地,easily
尾巴,tail
翅膀,wing
漂亮的,beautiful
胖的,fat
美麗、可愛的,pretty
瘦的,thin
壞的,bad
粗心的,careless
酷的,cool
邪惡的,evil
坦白、直率的,frank
貪心的,greedy
不禮貌的,impolite
孤獨、寂寞的,lonely
有耐心的,patient
傷心的,sad
鬼鬼祟祟的,sneaky
鬍子,beard
嘴唇,lip
手臂,arm
手,hand
脖子,neck
腰,waist
舒適的,comfortable
生病、想吐的,sick
癌症,cancer
咳嗽,cough
死亡,death
醫生、博士,Dr.
女士(尊稱),ma'am
姑.姨.嬸.伯/舅母,aunt
父親,father
祖母、外婆,grandmother
媽媽,mommy
兒子,son
結婚,marry
零,zero
六,six
十二,twelve
十八,eighteen
六十,sixty
百萬,million
一些,a few
比較少,less
數個的,several
清晨,dawn
午夜,midnight
週六,Saturday
一月,January
七月,July
季節,season
鬧鐘,alarm clock
下午,p.m.
過去,past
現行的,current
現在,now
明天,tomorrow
帳單,bill
元,dollar
花費,cost
昂貴的,expensive
水果,fruit
芒果,mango
草莓,strawberry
包心菜,cabbage
馬鈴薯,potato
(漢)堡,burger
魚肉,fish
熱狗,hot dog
沙拉,salad
牛排,steak
餐(點),meal
飲料,drink
蘇打(氣泡)水,soda
起司,cheese
月餅,moon cake
奶油、乳脂,cream
糖,sugar
美味的,delicious
煮沸,boil
菜單,menu
碗,bowl
刀子,knife
短上衣,blouse
長褲,pants
套裝,suit
背心,vest
隱形眼鏡,contact lens
項鍊,necklace
拖鞋,slippers
洞,hole
銀子,silver
黑色(的),black
綠色(的),green
運動,sports
高爾夫球,golf
跳舞,dance
房屋,house
浴室,bathroom
學校,school
紙,paper
這裡,here
中間的,middle
汽車,car
船、艦,ship
醫生,doctor
廚師,cook
豬,pig
獅子,lion
熱的,hot
看到,see
製作,make
想,think
老的,old
困難的,difficult
我們,we
動物,animal
恐龍,dinosaur
狐狸,fox
馬,horse
猴子,monkey
寵物,pet
綿羊,sheep
昆蟲,insect
蝴蝶,butterfly
蜘蛛,spider
蝦子,shrimp
男演員,actor
上司、老闆,boss
外交官,diplomat
導遊,guide
律師,lawyer
模特兒,model
總統、總裁,president
秘書,secretary
女服務生,waitress
天氣,weather
多霧的,foggy
下雪的,snowy
霧,fog
暴風雨,storm
照耀,shine
泥土、土地,earth
Be動詞,be
得到,get
說,say
需要,need
讀,read
工作,work
坐,sit
發現,find
居住,live
大的,big
高的,tall
瘦的,thin
慢的,slow
髒的,dirty
涼爽的,cool
簡易的,easy
一樣的,same
昂貴的,expensive
忙碌的,busy
這裡,here
在,at
在…之前,before
在…裡面,inside
慣常地,usually
也,too
或許,perhaps
和,and
何地,where
我,I
他們,they
他們的,their
任何,any
兩者都,both
早安,good morning
對不起,I'm sorry
幾點,what time
現在,right now
短時間,short time
結婚的、已婚的,married
名字,name
盲的,blind
帥的,handsome
短的、矮的,short
過輕的,under-weight
感到無聊的,bored
幼稚的,childish
瘋狂、狂熱的,crazy
有活力的,energetic
友善的,friendly
快樂的,happy
有才智的,intelligent
可愛、美好的,lovely
有禮貌的,polite
自私的,selfish
小氣的,stingy
下巴,chin
嘴巴,mouth
背部,back
頭,head
肩膀,shoulder
手腕,wrist
頭暈的,dizzy
強壯的,strong
感冒,cold
發燒,fever
健康,health
先生,Mr.
兄弟,brother
爸爸,dad
祖母、外婆,grandma
姪子、外甥,nephew
叔.伯.舅.姑/姨丈,uncle
一,one
七,seven
十三,thirteen
十九,nineteen
七十,seventy
第一,first
一些,a little
幾乎沒有,little
一些,some
早上,morning
週一,Monday
週日,Sunday
二月,February
八月,August
春天,spring
月(日)曆,calendar
半(小時),half
一刻,quarter
早的,early
昔日,once
年,year
現金,cash
錢,money
賺,earn
蘋果,apple
柳橙,orange
橘子,tangerine
胡蘿蔔,carrot
南瓜,pumpkin
穀物麥片,cereal
麵粉,flour
泡麵,instant noodle
三明治,sandwich
豆腐,tofu
零食,snack
冰、冰塊,ice
汽水,soft drink
巧克力,chocolate
派,pie
果醬,jam
醋,vinegar
辣、燙的,hot
燒,burn
飲食,diet
筷子,chopsticks
餐巾,napkin
(西裝)外套,coat
雨衣,raincoat
毛衣,sweater
袋子、包包,bag
耳環,earrings
口袋,pocket
運動鞋,sneakers
斑、汙點,spot
熨斗,iron
藍色(的),blue
橙、橘色(的),orange
羽毛球,badminton
足球,soccer
音樂,music
家,home
客廳,living room
學生,student
功課,homework
那裏,there
上面(的),top
公車,bus
計程車,taxi
老師,teacher
學生,student
牛、母牛,cow
猴子,monkey
冷的,cold
聽到,hear
做,do
大的,big
好的,good
我,I
他們,they
熊,bear
狗,dog
青蛙,frog
袋鼠,kangaroo
怪物,monster
豬,pig
天鵝,swan
螞蟻,ant
蟑螂,cockroach
(沒腳的)蟲,worm
烏龜,turtle
女演員,actress
商人,businessman
醫生,doctor
美髮師,hair dresser
魔術師,magician
音樂家,musician
神父、牧師,priest
僕人,servant
工人,worker
晴朗的,clear
極冷的,freezing
暴風雨的,stormy
閃電,lightning
雷,thunder
(大)自然,nature
月亮,moon
做,do
製作,make
告訴,tell
幫忙,help
寫,write
吃,eat
站立,stand
失去,lose
移動,move
小的,small
高的,high
重的,heavy
新的,new
漂亮的,beautiful
明亮的,bright
困難的,difficult
正確的,right
便宜的,cheap
準備好的,ready
那裏,there
到…,to
在…之後,after
在…之外,outside
已經,already
非常,very
或許,probably
但是,but
什麼,what
你,you
我的,my
這個,this
全部,all
每一個,each
下午好,good afternoon
你好嗎,how are you
多少錢,how much
剛才,just now
祝好運,good luck
圓胖的,chubby
重的,heavy
皮包骨的,skinny
醜的,ugly
枯燥無趣的,boring
天真的,childlike
冷酷的,cruel
感到興奮的,excited
好笑、古怪的,funny
努力認真的,hard-working
感到有興趣的,interested
發狂、惱火的,mad
貧窮、可憐的,poor
害羞的,shy
笨的、遲鈍的,stupid
耳朵,ear
鼻子,nose
身體,body
臀部,hip
皮膚,skin
心(臟),heart
健康的,healthy
疲累、厭煩的,tired
流行性感冒,flu
痛苦,pain
生命、生活,life
太太、女士,Mrs.
堂表兄弟姐妹,cousin
爸爸,daddy
孫子,grandson
姪女、外甥女,niece
妻子,wife
二,two
八,eight
十四,fourteen
二十,twenty
八十,eighty
第二,second
很多,a lot
很多,many
總計、全體的,total
正午,noon
週二,Tuesday
星期,week
三月,March
九月,September
夏天,summer
時鐘,clock
小時、鐘頭,hour
秒,second
最後的,last
未來,future
昨天,yesterday
分(錢),cent
價格,price
借(出),lend
香蕉,banana
木瓜,papaya
番茄,tomato
玉米,corn
肉類,meat
雞肉,chicken
食物,food
麵條,noodle
海鮮,seafood
早餐,breakfast
晚餐,supper
果汁,juice
茶,tea
餅乾,cookie
爆米花,popcorn
(沙拉)油,oil
飢餓的,hungry
酸的,sour
煮、烹飪,cook
切(薄)片,slice
(小)杯子,cup
(淺)盤子,plate
洋裝,dress
襯衫,shirt
(女)泳衣,swimsuit
皮帶,belt
手套,glove
(女用)皮包,purse
襪子,socks
衣服,clothes
服裝,wear
咖啡色(的),brown
粉紅色(的),pink
棒球,baseball
網球,tennis
遊戲,game
公寓,apartment
門,door
老師,teacher
考試,test
左邊(的),left
銀行,bank
火車,train
駕駛,drive
護士,nurse
狗,dog
雞,chicken
天氣,weather
溫暖的,warm
說,say
有,have
小的,small
壞的,bad
你,you
這個,this
貓,cat
驢子,donkey
山羊,goat
小貓,kitten
老鼠,mouse
鴿子,pigeon
老虎,tiger
蝙蝠,bat
龍,dragon
螃蟹,crab
鯨魚,whale
藝術家,artist
店員,clerk
司機,driver
家庭主婦,housewife
郵差,mailman
護士,nurse
記者,reporter
店主,shopkeeper
作家,writer
多雲的,cloudy
熱的,hot
陽光充足的,sunny
彩虹,rainbow
颱風,typhoon
空氣,air
天空,sky
有,have
知道,know
放置,put
注視、看著,look
學習,learn
喝,drink
打開,open
買,buy
轉,turn
大的,large
低的,low
輕的,light
老的,old
醜的,ugly
黑暗的,dark
簡單的,simple
錯的,wrong
富有的,rich
安全的,safe
往上,up
從,from
在…之下,under
總是,always
仍然,still
真地,really
最後,finally
或者,or
什麼人,who
他,he
你的,your
那個,that
很多,many
每個,every
晚安,good evening
很高興見到你,nice to meet you
多少個,how many
下次,next time
生日快樂,happy birthday
可愛的,cute
好看的,nice-looking
苗條、纖細的,slender
年輕的,young
勇敢的,brave
機敏、伶俐的,clever
好奇的,curious
刺激的,exciting
溫和的,gentle
誠實的,honest
忌妒的,jealous
頑皮、淘氣的,naughty
驕傲、自豪的,proud
愚蠢、糊塗的,silly
成功的,successful
眼睛,eye
舌頭,tongue
骨頭,bone
膝蓋,knee
喉嚨,throat
胃,stomach
生病的,ill
虛弱的,weak
頭痛,headache
喉嚨痛,sore throat
藥物,medicine
小姐(未婚),Miss
女兒,daughter
孫女,granddaughter
丈夫,husband
父/母,parent
出生的、誕生的,born
三,three
九,nine
十五,fifteen
三十,thirty
九十,ninety
第三,third
任何,any
比較多,more
下午,afternoon
週三,Wednesday
平日,weekday
四月,April
十月,October
秋天,autumn
手表,watch
分鐘,minute
時間,time
遲(晚)的,late
很快地,soon
天,day
零錢,change
借(入),borrow
付錢,pay
葡萄,grape
桃子,peach
西瓜,watermelon
萵苣,lettuce
牛肉,beef
餃子,dumpling
薯條,French fries
披薩,pizza
蝦子,shrimp
早午餐,brunch
啤酒,beer
液體,liquid
水,water
甜點,dessert
烤吐司,toast
胡椒,pepper
飽的,full
甜的,sweet
吃,eat
(深)盤子,dish
碟子,saucer
夾克,jacket
短袖圓領運動衫,T-shirt
長褲,trousers
鈕扣,button
手帕,handkerchief
戒指,ring
領帶,tie
棉花,cotton
顏色,color
紫色(的),purple
籃球,basketball
排球,volleyball
電影,movie
房間,room
窗戶,window
書,book
研讀,study
右邊(的),right
醫院,hospital
飛機,airplane
駕駛(飛機),fly
農夫,farmer
貓,cat
鴨子,duck
陽光充足的,sunny
涼爽的,cool
告訴,tell
得到,get
長的,long
正確的,right
他,he
那個,that
雞,chicken
鴨子,duck
鵝,goose
無尾熊,koala
牛,ox
小狗,puppy
火雞,turkey
蜜蜂,bee
蚊子,mosquito
海豚,dolphin
吠、叫,bark
助理,assistant
廚師,cook
工程師,engineer
獵人,hunter
郵差,mail carrier
老闆,owner
水手,sailor
歌手,singer
小販,vendor
冷的,cold
潮濕的,humid
溫暖的,warm
陣雨,shower
風,wind
氣候,climate
太陽,sun
去,go
拿取,take
想要,want
(仔細)聽,listen
研讀,study
睡覺,sleep
關閉,close
賣,sell
打電話,call
小的,little
寬的,wide
強壯的,strong
年輕的,young
熱的,hot
大聲的,loud
重要的,important
真實的,TRUE
貧窮的,poor
危險的,dangerous
往下,down
和,with
在…之上,over
從不,never
尚未,yet
相當地,quite
突然地,suddenly
因為,because
哪一個,which
她,she
他的,his
這些,these
很多,much
其他的,other
晚安,good night
待會見,see you later
幾歲,how old
上次,last time
聖誕快樂,Merry Christmas
聾的,deaf
老的,old
苗條、纖細的,slim
主動、積極的,active
忙碌的,busy
有自信的,confident
勤勉的,diligent
有名的,famous
大方、慷慨的,generous
謙虛的,humble
和藹、親切的,kind
緊張的,nervous
富有的,rich
真誠的,sincere
愛說話、健談的,talkative
臉,face
牙齒,tooth
手指,finger
腿,leg
拇指,thumb
痛苦的,painful
健康、安好的,well
胃(肚子)痛,stomachache
治療,cure
